"альбом ","название песни","текст"
"Пыльная быль, 1994","Жертва талого льда","Он пел, и строка его текла 
Печально, как черная река 
Звеня, рассыпались зеркала 
На лица и блики 
И время качало головой 
Летая задумчивой совой 
Над тем, кто нашел какой-то свой 
Путь в мудрые книги 
Огонь обжигал его уста 
Гитары сухая береста 
Пылала, и в запахе костра
Мне слышались крики ... 

А ночь плавно уходила в степь 
С ней вместе уходила его тень 
Он сам отпустил ее - затем, 
Чтоб рук не вязала 
Слеза ожерелья янтаря 
Сверкала при свете фонаря,
Как будто заря всходила для 
Притихшего зала 

Он пел, словно падала звезда, 
Он пел, словно шаг, и нет следа, 
Он пел, что никого и никогда 
Река не держала 

Жертва талого льда ... 

Движенье от братства до родства 
В преддверье Христова Рождества 
Цветы и руины торжества 
В декабрьской стуже 
И ноты сошлись в один узор 
И в полночь явился дирижер 
И все мы обратили ему взор 
И стали послушны 

Он пел - мы молились на него, 
Он пел - мы плевали на него, 
Он пел, и мы не знали никого, 
Кто был его лучше 

Жертва талого льда ...

Сними пальцы с проводов и струн, 
Все песни расходятся к утру, 
Строка отлетает на ветру 
И меркнет в рассвете 
Тела, заплетенные в любви, 
Сорта драгоценнейших из вин 
Крестил сероглазый херувим 
Ударами плети 

Эй, вы, задержите Новый год, 
Часам указав обратный ход 
Он спел, спрыгнул с берега на лед 
И стал незаметен ... "
"Пыльная быль, 1994","Холодные зимы","Помнишь, как мы проводили холодные зимы?
Грелись, и звали баяном меха батареи .
Как мы гадали на мертвом цветке Хиросимы?
Как размышляли на тему ""прошедшее время""?

Лампа сняла абажур, и стеснялась нас, голая,
Стыл по стаканам чефир, и звала сигарета .
Сердце расплавилось, вытекло , теплое олово,
Это пятно до сих пор я скрываю от света ."
"Пыльная быль, 1994","Мне сказали слово","Мне сказали слово, я расплел его в строку, 
Голос был привязан к телефонному звонку, 
Странные оркестры бродят в голове моей, 
Странные оркестры ... 

То, что знают пальцы - то неведомо для глаз, 
Клавиши рояля излучают нервный газ, 
Бешеные волки в оголенных проводах, 
Загляни в глаза свои, и ты увидишь страх! 

Я не знаю формулы, но ток всегда есть ток, 
Я увидел женщину, я бросил ей цветок, 
Волки расступились, можно рыть подземный ход - 
Но в окне напротив установлен пулемет. 

Ты увидишь солнце с ослепительных вершин, 
Если ты ловил кого-то вечером во ржи, 
Я вчера узнал из сводки свежих новостей, 
Что я умру непознанным в тени своих детей"
"Пыльная быль, 1994","Под сурдинку","Хочу отдохнуть от сатиры,
У лиры моей
Есть тихо дрожащие, легкие звуки,
Усталые руки
На умные струны кладу,
Пою и в такт головою киваю
Хочу быть незлобным ягненком,
Ребенком,
Которого взрослые люди дразнили
И злили,
А жизнь за чьи-то чужие грехи
Лишила третьего блюда.

Васильевский остров прекрасен,
Как жаба в манжетах,
Отсюда, с балконца,
Омытый потоками солнца,
Он весел, и грязен, и ясен
Как старый маркер
Над ним углубленная просинь
Зовет, и поет, и дрожит
Задумчиво осень последние листья желтит
Срывает,
Бросает под ноги людей на панель
А в сердце не смолкнет свирель:
Весна опять возвратится!

О, нежная спячка медведя,
Сосущего пальчики лап!
Твой девственный храп
Желанней лобзаний прекраснейшей леди,
Как молью изъеден я сплином,
Посыпьте меня нафталином,
Сложите в сундук и поставьте меня на чердак
Пока не наступит весна"
"Пыльная быль, 1994","Гроза","
Дождю ни капельки не жаль
Для мокрого лица
Я видел в небе дирижабль -
Облако свинца
Я запрокинул голову
И я увидел молнию
От неба до конца!

Забудьте запах свежих роз
И поцелуй луны,
Сегодня праздник майских гроз
И бал у сатаны,
Все на корабль, идущий в шторм
От пристани где слышится
Звук лопнувшей струны!

На виноградную лозу
Вода наводит дрожь,
У неба вымолив слезу
Не попадешь под дождь,
Я знаю - я войду в грозу
Лишь неба ткань разрежет молний нож!"
"Пыльная быль, 1994","Война","Когда отыграет оркестр,
Расплавится медь, и умрет дирижер;
Когда подсудимый обманет конвой
И подпишет судье приговор;

Когда одряхлевшей старухе
Покажется ядом живая слеза,
Я знаю - прорвавшись сквозь синее небо
Над городом грянет гроза;

Я знаю, что будет война,
Потускнеют умы, разобьются сердца,
И девочка с пулей во лбу
Будет звонко смеяться над трупом отца,

Собаки сорвутся с цепей
И оставят хозяев по горло в крови,
Возьми, уходя, свои лучшие песни,
А все остальные порви,

Поверь - я рисую, что вижу,
Мне мил этот город, мне дорог народ,
Но тот, кто глядит на картины, кривит
Свой проклятьем изорванный рот,

И мне не дожить до грозы,
Так не лучше ль нож в сердце и грудью на ствол?
Я знаю, что это единственный способ
Взобраться на дыбу, минуя престол"
"Пыльная быль, 1994","Пыльная быль - Сказка","Мы шли дорогой горемык искать свою судьбу
В одной деревне на ночлег старик пустил в избу
Мы пили крепкий самогон - хозяин был к нам добр
Река бежала за окном, шумел сосновый бор

Я пью чуть больше чем могу, но меньше, чем хочу
Когда я пью, я не пою - я не пою, кричу
Hикто мне глотку не заткнет, не запретит мой пляс
Hо тут старик сказал: ""Дай я"" и начал свой рассказ

Иван был сказочно богат но не имел детей
Иван накрыл дубовый стол и пригласил гостей
Он переспал с одной вдовой - вдова сказала: ""Жди
Теперь зима, я разрешусь когда пойдут дожди""

Иван счастливый захрапел, как красноармейский полк
Он крепко спал, когда во сне ему явился волк
Волк молвил: ""Если хочешь дочь - брось голову в огонь,
Захочешь сына - так отдай мне правую ладонь
Hе будь упрямым как осел, будь чистым как слеза,
Hо знай - захочешь обмануть - вдова родит козла""

Сказав все это, волк исчез, Иван открыл глаза -
Вдова лежала на боку, поглаживая зад,
Иван напялил на себя ботинки и трусы,
Запряг трех быстрых вороных и кони понесли

Иван скакал четыре дня к кудыкиной горе
Там на горе жил друг Макар - весь в злате, серебре
Макар служил городовым и пропивал навар
Узнав о Ваниной беде, сказал: ""Споймаем тварь""

Они расставили капканы вдоль лесных дорог
Попались лев, сова и заяц, но не попался волк

Друзья надыбали жратвы и ринулись в леса
Пока гонялись за волками - кончилась весна

Иван все лето пил вино, гуляя вдоль болот
Вдова сидела у окна и гладила живот
Однажды августовским днем, заслыша Ванин крик
Вдова схватила керосин и подожгла тростник

То был как есть условный знак - заполыхал пожар
Еще не наступил сентябрь, как прискакал Макар
Макар раздвинул камыши и глянул сквозь огонь 
А там Иван без головы и где его ладонь 

Макар ругнулся : ""е-мое"", но тихо, не со зла
Вдова не дождалась дождей и родила козла 

С тех пор прошло двенадцать лет, Макар за взятки сел
Козла пустили в огород, и козлик окосел
Иван схоронен у болот - там тихо, ни души
И из груди его растут цветные камыши*

Старик закончил, тихо встал, открыл нам сеновал
Друзья заснули сей же час и только я не спал
Я думал, глядя на луну, что стало со вдовой
Всю ночь сквозь храп моих друзей я слышал волчий вой"
"Пыльная быль, 1994","Серебрянные реки","Далеко-далеко, во серебряном веке,
Как в сосновом бору мне светло,
Там от русского слова становятся реки,
Замирает вода под веслом

Я сижу на корме заколдованной лодки,
И брызги, и есть им числа;
Мне ни нужно ни денег, ни баб и ни водки,
Лишь бы чувствовать тяжесть весла

Во серебряных реках"
"Пыльная быль, 1994","Твоё разбитое пенсне","Твое разбитое пенсне
Полощет глаз в стальной оправе
Живая ткань льняных волос
Играет с ветром, но без правил,

Вишневый плод запретных губ
Не перезреет, не сгниет,
Ты словно излучаешь свет,
Я напишу с тебя портрет,
И сдам рублей за 800"
"Пыльная быль, 1994","Сказочный леший","Ты знаешь, вернулся наш сказочный леший
Из города длинных волос
Да вот он идет, до чего ж он потешный -
До слез

Привет, я ловлю золотые мгновенья
Дырявым сачком колдуна
Скажи мне, испил ли ты чашу терпенья -
До дна ...

А время - держал ли ты стрелки руками?
А кости - упали на шесть!
А сколько крестов поднялось над холмами -
Не счесть ...

Но люди, я знаю, все так же красивы,
По-прежнему весел их нрав,
И реки - весной так прекрасны разливы! -
Оставь ... 

Ну что же, я вижу, с последнего лада
Скатилась последняя ""соль"".
Глоток несказанно вкуснейшего яда -
И все ... "
