,album,song_title,text
0,"Пыльная быль",Жертва талого льда,он петь и строка он течь печально как чёрный река звенеть рассыпаться зеркало на лицо и блик и время качать голова летать задумчивый сова над тем кто найти какой то свой путь в мудрый книга огонь обжигать он уста гитара сухой берест пылать и в запах костра я слышаться крик а ночь плавно уходить в степь с она вместе уходить он тень он сам отпустить она затем чтоб рука не вязать слеза ожерелие янтарь сверкать при свет фонарь как будто заря всходить для притихнуть зал он петь словно падать звезда он петь словно шаг и нет след он петь что никто и никогда река не держать жертва талый лёд движение от братство до родство в преддверие христов рождество цвета и руина торжество в декабрьский стужа и нота сойтись в один узор и в полночь явиться дирижёр и весь мы обратить он взор и стать послушный он петь мы молиться на он он петь мы плевать на он он петь и мы не знать никто кто быть он хороший жертва талый лёд снять палец с проводы и струна весь песнь расходиться к утро строка отлетать на ветер и меркнуть в рассвет тело заплести в любовь сорт драгоценный из вино крестить сероглазый херувим удар плеть эй вы задержать новый год часы указать обратный ход он спеть спрыгнуть с берег на лёд и стать незаметный 
1,"Пыльная быль",Холодные зимы,помнить как мы проводить холодное зима греться и звать баян мех батарея как мы гадать на мёртвый цветок хиросима как размышлять на тема прошедшее время лампа снять абажур и стесняться мы голый стылый по стакан чефира и звать сигарета сердце расплавиться вытечь тёплый олово это пятно до сей пора я скрывать от свет 
2,"Пыльная быль",Мне сказали слово,я сказать слово я расплести он в строка голос быть привязать к телефонный звонок странный оркестр бродить в голов мой странный оркестр то что знать палец то неведомый для глаз клавиш рояль излучать нервный газ бешеный волк в оголить проводы заглянуть в глаз свой и ты увидеть страх я не знать формула но ток всегда есть ток я увидеть женщина я бросить она цветок волк расступиться можно рыть подземный ход но в окно напротив установленный пулемёт ты увидеть солнце с ослепительный вершина если ты ловить кто то вечером в ржа я вчера узнать из сводка свежий новость что я умереть непознанный в тенить свой ребёнок
3,"Пыльная быль",Под сурдинку,хотеть отдохнуть от сатира у лира мой есть тихо дрожать лёгкое звук усталый рука на умный струна класть поить и в такт голова кивать хотеть быть незлобный ягнёнок ребёнок который взрослый человек дразнить и злить а жизнь за чей то чужое грех лишить третье блюдо васильевский остров прекрасный как жаба в манжета отсюда с балконец омыть поток солнце он весёлый и грязный и ясный как старый маркер над он углублённый просинь звать и петь и дрожать задумчиво осень последний лист желтить срывать бросать под нога человек на панель а в сердце не смолкнуть свирель весна опять возвратиться о нежный спячка медведь сосущий пальчик лапа твой девственный храп желанный лобзание прекрасный леди как моль изъесть я сплин посыпать я нафталин сложить в сундук и поставить я на чердак пока не наступить весна
4,"Пыльная быль",Гроза,дождь ни капелька не жаль для мокрый лицо я видеть в небо дирижабль облако свинец я запрокинуть голова и я увидеть молния от небо до конец забыть запах свежий роза и поцелуй луна сегодня праздник майский гроза и бал у сатана весь на корабль идти в шторм от пристань где слышаться звук лопнуть струна на виноградный лоза вод наводить дрожь у небо вымолить слеза не попасть под дождь я знать я войти в гроза лишь небо ткань разрезать молния нож 
5,"Пыльная быль",Война,когда отыграть оркестр расплавиться медь и умереть дирижёр когда подсудимый обмануть конвой и подписать судья приговор когда одряхлеть старуха показаться яд живой слеза я знать прорваться сквозь синий небо над город грянуть гроза я знать что быть война потускнеть ум разбиться сердце и девочка с пуля в лоб быть звонко смеяться над труп отец собака сорваться с цепь и оставить хозяин по горло в кровь взять уходить свой хороший песнь а весь остальной порвать поверь я рисовать что видеть я мила этот город я дорога народ но тот кто глядеть на картина кривить свой проклятие изорвать рота и я не дожить до гроза так не хороший ль нож в сердце и грудь на ствол я знать что это единственный способ взобраться на дыба миновать престол
6,"Пыльная быль",Пыльная быль - Сказка,мы идти дорогой горемыка искать свой судьба в один деревня на ночлег старик пустить в изба мы пить крепкий самогон хозяин быть к мы добрый река бежать за окно шуметь сосновый бора я пить чуть большой чем мочь но маленький чем хотеть когда я пить я не поить я не поить кричать hикто я глотка не заткнуть не запретить мой пляс hо тут старик сказать дать я и начать свой рассказ иван быть сказочно богатый но не иметь ребёнок иван накрыть дубовый стол и пригласить гость он переспать с один вдовый вдова сказать ждать теперь зима я разрешиться когда пойти дождь иван счастливый захрапеть как красноармейский полк он крепко спасть когда в сон он явиться волк волк молвить если хотеть дочь бросить голова в огонь захотеть сын так отдать я правый ладонь hе быть упрямый как осесть быть чистый как слеза hо знать захотеть обмануть вдова родить козёл сказать весь это волк исчезнуть иван открыть глаз вдова лежалый на бок поглаживать зад иван напялить на себя ботинок и трус запрячь три быстрый вороной и конь понести иван скакать четыре день к кудыкин горе там на горе жить друг макар весь в злато серебро макар служилый городов и пропивать навар узнать о ванин беда сказать споймать тварь они расставить капкан вдоль лесной дорога попасться левый сова и заяц но не попасться волк друг надыбали жратва и ринуться в леса пока гоняться за волк кончиться весна иван весь лето пить вино гулять вдоль болото вдова сидеть у окно и гладить живот однажды августовский днём заслышать ванин крик вдова схватить керосин и поджечь тростник то быть как есть условный знак заполыхать пожар ещё не наступить сентябрь как прискакать макар макар раздвинуть камыш и глянуть сквозь огонь а там иван без голов и где он ладонь макар ругнуться е мой но тихо не с зло вдова не дождаться дождь и родить козёл с тот пора прошлый двенадцать год макар за взятка сесть козёл пустить в огород и козлик окосеть иван схоронить у болото там тихо ни душа и из грудь он расти цветной камыш старик закончить тихо встать открыть мы сеновал друг заснуть сеять же час и только я не спасть я думать глядеть на луна что стать с вдовый весь ночь сквозь храп мой друг я слышать волчий вой
7,"Пыльная быль",Серебрянные реки,далеко далеко в серебряный век как в сосновый бора я светло там от русский слово становиться река замирать вод под весло я сидеть на корма заколдованный лодка и брызги и есть имя число я ни нужно ни деньга ни баба и ни водка лишь бы чувствовать тяжесть весло в серебряный река
8,"Пыльная быль",Твоё разбитое пенсне,твой разбитый пенсне полоскать глаз в стальной оправа живой ткань льняной волос играть с ветер но без правило вишнёвый плод запретный губа не перезреть не сгнить ты словно излучать свет я написать с ты портрет и сдать рубль за 
9,"Пыльная быль",Сказочный леший,ты знаешь вернуться наш сказочный леший из город длинный волос да вот он идти до что ж он потешный до слеза привет я ловить золотой мгновение дырявый сачок колдун сказать я испить ли ты чаша терпение до дно а время держать ли ты стрелка рука а костя упасть на шесть а сколько крестовый подняться над холм не счесть но человек я знать весь так же красивый по прежний весёлый они нрав и река весной так прекрасный разлив оставить ну что же я видеть с последний лада скатиться последний соль глотка несказанно вкусный яд и весь 
